key,value
data:977890781941616700,"{""st"":1,""cl"":""en"",""ls"":[""th""],""fc"":[]}"
data:977890862715523112,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[]}"
data:977893095368695858,"{""st"":1,""cl"":null,""ls"":[],""fc"":[""977893095368695858""]}"
data:977893207281127424,"{""st"":1,""cl"":null,""ls"":[""th""],""fc"":[""977893238868430898"",""977895605152129024""]}"
data:977893238868430898,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[""977893207281127424"",""977895605152129024""]}"
data:977895605152129024,"{""st"":1,""cl"":""en"",""ls"":[""ko""],""fc"":[""977893207281127424"",""977893238868430898""]}"
data:978001587437985842,"{""st"":1,""cl"":""en"",""ls"":[""fr"",""en""],""fc"":[]}"
data:978280497006395392,"{""st"":1,""cl"":""en"",""ls"":[],""fc"":[]}"
data:978995935805841488,"{""st"":1,""cl"":null,""ls"":[""turkish""],""fc"":[""968059672584130600"",""968059701797457920"",""968059744566784010"",""968059778133790760"",""968147083305566219""]}"
data:979122373980737539,"{""st"":1,""cl"":""en"",""ls"":[""ar"",""en"",""ru""],""fc"":[]}"
data:979668867519492127,"{""st"":1,""cl"":""en"",""ls"":[""en"",""fr"",""es"",""german""],""fc"":[]}"
data:982232268389109801,"{""st"":1,""cl"":""en"",""ls"":[""en"",""id""],""fc"":[]}"
data:982686588330995775,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[""996160110873296956"",""1000040092854923335""]}"
data:982757248294080604,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[]}"
data:983607654855360513,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[]}"
data:983964236151681070,"{""st"":1,""cl"":null,""ls"":[],""fc"":[""992987064201138246""]}"
data:984316896520310835,"{""st"":1,""cl"":""en"",""ls"":[],""fc"":[]}"
data:984448525888798783,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[]}"
data:984448580330852352,"{""st"":1,""cl"":null,""ls"":[],""fc"":[]}"
